# QIIME-formatted OTU table																																																																																																												
#OTU ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108
ZOTU106	24	12	11	12	12	5	8	10	18	42	53	33	25	26	28	20	16	34	10	10	11	8	10	5	7	14	9	34	36	24	47	26	30	12	25	44	26	31	22	30	37	36	28	28	22	37	23	13	15	55	23	30	28	14	5	15	10	13	16	26	19	10	19	28	38	31	35	22	30	38	34	35	9	14	12	8	8	19	10	10	14	68	42	55	85	60	58	49	51	47	17	32	26	26	19	29	21	22	28	60	36	47	63	46	82	58	59	38
ZOTU97	40	47	29	31	34	28	41	44	31	4	14	5	3	9	7	2	4	8	29	37	44	36	37	41	37	28	25	11	14	24	8	10	14	15	9	11	25	27	33	32	28	29	31	33	31	7	14	7	3	3	5	5	1	6	36	33	37	32	29	28	24	35	35	17	7	6	16	10	10	3	10	12	26	37	52	34	26	34	37	35	32	6	20	18	9	13	11	7	8	8	33	35	41	38	23	47	44	41	38	0	19	7	10	18	8	6	18	13
ZOTU49	9	9	8	8	12	8	5	12	7	57	33	34	11	30	23	9	12	17	9	9	7	6	11	9	3	7	6	43	40	41	21	16	30	28	7	36	6	7	8	10	13	11	8	14	7	37	43	26	35	41	48	33	26	41	6	8	4	9	7	7	6	9	15	31	46	34	43	25	25	34	31	30	6	7	10	9	10	6	10	12	12	23	47	38	17	38	32	32	27	27	6	2	14	6	7	9	9	5	5	18	33	19	20	19	17	23	26	37
ZOTU94	49	20	40	14	26	17	30	20	36	11	15	6	2	13	6	5	7	8	21	25	23	25	22	32	23	17	17	10	7	4	5	5	4	2	6	9	32	61	40	59	65	57	44	44	37	9	10	4	9	5	4	6	7	7	17	22	10	16	19	53	28	20	46	8	13	4	11	3	7	5	10	13	18	9	16	13	14	19	15	12	19	11	15	16	3	11	12	13	14	16	19	22	50	26	32	36	32	21	26	10	10	3	7	15	14	6	20	8
ZOTU67	16	20	18	33	17	14	22	15	18	22	17	18	17	13	6	6	7	12	12	20	19	17	14	13	18	16	13	18	25	27	21	12	17	24	7	16	13	21	22	20	23	23	21	18	23	16	14	14	6	13	21	16	11	18	22	22	12	20	14	18	28	21	17	14	16	17	16	5	8	25	13	14	23	24	16	20	12	20	18	19	19	21	21	25	28	22	20	12	19	22	17	23	33	23	30	37	28	23	28	23	17	19	21	22	13	22	20	15
ZOTU84	44	30	22	13	21	11	18	22	29	11	28	14	3	8	10	1	1	7	32	22	25	34	12	25	37	18	27	12	25	26	7	7	6	9	7	14	34	28	22	16	29	18	28	27	26	36	33	25	14	8	22	10	24	18	16	20	4	10	7	34	17	9	23	4	11	9	18	11	14	7	10	14	39	24	14	15	22	34	20	25	21	11	42	15	6	19	6	10	18	15	13	30	28	15	16	20	30	12	13	4	12	7	9	23	4	7	12	22
ZOTU88	24	18	12	15	15	11	22	13	14	23	17	7	9	19	21	3	1	10	18	15	14	24	17	21	12	18	22	23	19	7	2	15	6	10	13	14	16	15	21	17	19	23	22	18	26	13	18	5	12	9	19	16	13	13	15	13	9	17	18	19	14	14	20	14	16	16	17	15	20	7	13	21	28	18	21	14	22	20	21	15	14	5	22	12	6	6	8	13	16	18	17	18	25	19	18	19	28	15	19	7	22	17	15	16	11	11	9	28
ZOTU140	4	0	2	5	7	4	5	1	5	8	18	13	8	10	8	14	11	14	3	5	2	8	4	3	4	3	4	10	14	15	30	10	18	5	14	22	4	11	11	9	11	11	8	8	8	12	4	12	6	19	10	13	14	11	5	1	2	4	3	7	7	3	8	14	3	9	16	7	16	15	12	10	6	2	3	11	4	5	1	2	3	34	15	23	58	45	35	30	25	27	1	17	11	7	4	17	13	6	8	61	12	26	55	28	53	37	35	16
ZOTU95	0	0	0	0	0	0	0	0	0	30	23	34	15	19	21	24	12	24	0	0	0	1	0	0	0	0	0	18	27	35	14	4	21	9	7	19	0	0	0	0	0	0	0	0	0	22	22	44	7	10	29	15	5	22	0	0	0	0	0	0	0	0	0	42	22	31	47	31	30	37	26	25	1	0	0	0	0	0	0	0	0	29	33	18	21	23	13	15	29	22	0	0	0	0	0	0	0	0	0	26	27	20	19	35	24	15	32	49
ZOTU120	18	21	10	11	20	14	19	26	15	25	18	12	1	2	11	4	2	7	22	11	17	19	16	22	23	16	9	5	1	3	2	2	4	5	3	8	15	13	19	11	17	15	16	25	19	1	3	2	5	1	6	0	22	4	22	11	10	17	15	24	15	15	17	2	3	4	2	7	4	2	4	3	18	13	6	12	17	28	33	14	12	4	7	5	1	1	2	6	1	5	14	18	15	20	24	15	23	10	13	0	1	4	1	2	1	5	1	6
